item_id,carrier_name,mode,region,country,capacity_type,capacity_unit,avg_transit_days,max_transit_days,min_transit_days,service_level,temperature_controlled,hazardous_capable,tracking_available,carrier_type,certifications,cost_per_kg,cost_per_shipment_base,currency,reliability_score,on_time_pct_typical
CARRI0018,Carrier_0018,road,North,SG,parcel,kg,5.629089792,15.94253928,3.583585457,economy,N,Y,Y,asset,ISO|TAPA,49.7683,7274.19,SGD,63.7,86.8
CARRI0019,Carrier_0019,multimodal,North,US,FTL,kg,8.265339332,11.2474903,2.560477808,economy,N,Y,Y,non-asset,,25.3581,9029.6,USD,64.55,84.89
CARRI0020,Carrier_0020,air,South,MX,LTL,teu,3.179413271,13.12321882,0.694759969,standard,N,N,Y,asset,C-TPAT|ISO,25.3494,6580.64,MXN,70.83,100
CARRI0021,Carrier_0021,road,North,US,parcel,cbm,3.1177914,11.17699318,0.5,express,Y,N,Y,non-asset,,16.9414,9806.67,USD,76.92,77.25
CARRI0022,Carrier_0022,rail,South,MX,FTL,kg,7.180024444,10.5371606,6.200370243,express,Y,N,N,asset,TAPA,20.1874,17228.69,MXN,54.79,64.1
CARRI0023,Carrier_0023,multimodal,North,DE,parcel,teu,5.627246672,12.47976199,0.5,standard,Y,Y,N,asset,TAPA,21.5448,6538.57,EUR,46.91,52.9
CARRI0024,Carrier_0024,road,North,MX,LTL,teu,4.146858402,10.44237109,1.433512721,economy,N,N,Y,asset,TAPA|ISO,14.2461,8065.06,MXN,67.4,91.08
CARRI0025,Carrier_0025,road,North,IN,LTL,kg,2.346396134,9.374922703,0.5,standard,N,N,N,non-asset,,30.9383,10618.2,INR,62.29,79.32
CARRI0026,Carrier_0026,road,West,CN,FTL,cbm,4.007464667,8.41341913,2.71306913,economy,N,Y,N,asset,C-TPAT,19.6596,8752.97,CNY,61.3,96
CARRI0027,Carrier_0027,rail,East,DE,LTL,kg,6.02487849,17.54942722,4.40304966,express,N,N,N,non-asset,C-TPAT|ISO,21.1733,8123.13,EUR,73.38,87
CARRI0028,Carrier_0028,road,West,CN,LTL,cbm,6.680309982,16.28932044,3.529919342,standard,Y,N,N,non-asset,ISO,28.6811,6061.47,CNY,66.12,87.52
CARRI0029,Carrier_0029,air,East,DE,FTL,cbm,1.868332066,5.675387151,0.5,express,N,N,N,asset,C-TPAT|TAPA,21.0351,8950.18,EUR,59.36,89.3
CARRI0030,Carrier_0030,road,Central,BR,FTL,kg,3.492362107,5.866878091,0.5,standard,N,N,Y,asset,C-TPAT,27.964,9792.35,BRL,75.54,90.88
CARRI0031,Carrier_0031,sea,North,DE,LTL,teu,16.59010227,27.08788232,12.79186554,express,Y,Y,N,asset,TAPA|C-TPAT,27.3611,9370.22,EUR,48.77,80.61
CARRI0032,Carrier_0032,rail,Central,US,LTL,teu,6.967119259,17.31449336,4.358879709,express,N,Y,N,non-asset,C-TPAT,9.1927,7414.17,USD,62.21,82.97
CARRI0033,Carrier_0033,air,North,US,parcel,teu,0.8,4.878725253,0.5,standard,N,N,Y,asset,C-TPAT,41.4757,7949.19,USD,78.85,83.8
CARRI0034,Carrier_0034,road,Central,SG,LTL,cbm,2.748374323,8.221539331,0.5,express,N,Y,Y,asset,TAPA|ISO,10.1183,7283.44,SGD,77.19,90.81
CARRI0035,Carrier_0035,sea,Central,BR,FTL,cbm,19.24993129,30.64435939,18.04733937,express,N,N,N,non-asset,C-TPAT,18.4798,14997.03,BRL,55.03,74.87
CARRI0036,Carrier_0036,sea,North,IN,parcel,teu,18.00928995,30.00554255,16.67447197,standard,N,Y,Y,non-asset,C-TPAT|TAPA,17.5772,16843.61,INR,63.33,95.31
CARRI0037,Carrier_0037,multimodal,Central,US,LTL,kg,7.428514712,16.65619519,3.891082151,express,N,N,N,non-asset,TAPA|ISO,21.2091,8582.88,USD,73.12,84.98
CARRI0038,Carrier_0038,road,South,SG,parcel,kg,8.10924987,16.2595731,4.169441513,standard,N,N,Y,asset,TAPA|ISO,22.5977,5323.28,SGD,58.84,88.23
CARRI0039,Carrier_0039,rail,East,MX,FTL,cbm,5.692881212,7.805762186,0.585914213,standard,N,N,Y,asset,C-TPAT,18.4464,6708.98,MXN,63.44,96.72
CARRI0040,Carrier_0040,multimodal,Central,IN,parcel,teu,9.225756163,14.3066733,6.550060678,express,N,N,N,asset,,19.2798,12266.87,INR,65.39,78.8
CARRI0041,Carrier_0041,sea,South,BR,LTL,cbm,18.15574131,24.06401034,14.28056177,standard,N,N,N,asset,,10.0125,11079.83,BRL,37.5,85.1
CARRI0042,Carrier_0042,sea,North,US,LTL,teu,17.88917135,21.91945681,16.52503248,standard,Y,N,N,non-asset,ISO|TAPA,13.5991,22416.77,USD,48.51,65.01
CARRI0043,Carrier_0043,air,North,DE,LTL,teu,1.826697416,10.77843521,0.5,express,Y,N,N,asset,,25.1896,9625.48,EUR,65.24,94.19
CARRI0044,Carrier_0044,road,Central,US,FTL,teu,4.702643063,10.10883876,2.773201318,standard,N,Y,Y,asset,C-TPAT|ISO,36.9939,5945.83,USD,76.46,100
CARRI0045,Carrier_0045,road,East,BR,LTL,cbm,3.426357884,11.21599373,0.5,economy,N,N,Y,non-asset,ISO|TAPA,42.4586,9329.77,BRL,66.42,76.68
CARRI0046,Carrier_0046,road,West,DE,LTL,kg,5.058989024,16.38260612,0.5,express,N,N,Y,asset,,42.8255,18071.34,EUR,70.8,79.81
CARRI0047,Carrier_0047,road,North,MX,FTL,kg,2.447227417,7.587516171,1.633205516,standard,Y,Y,Y,asset,,23.5263,6496.52,MXN,78.41,93.7
CARRI0048,Carrier_0048,rail,South,DE,LTL,kg,8.782271526,11.23984655,6.462648199,standard,N,N,Y,non-asset,C-TPAT|TAPA,23.0317,10388.95,EUR,66.56,71.95
CARRI0049,Carrier_0049,rail,West,DE,LTL,cbm,9.364924174,19.56096755,5.491607195,economy,N,N,Y,non-asset,C-TPAT|ISO,28.2383,19487.81,EUR,60.22,86.92
CARRI0050,Carrier_0050,road,West,MX,FTL,kg,2.169990852,7.857841141,0.5,standard,N,N,Y,non-asset,ISO|C-TPAT,34.5035,8281.43,MXN,66.91,86.92
CARRI0051,Carrier_0051,rail,West,CN,FTL,kg,8.198697396,18.78580744,4.791325894,economy,N,Y,N,non-asset,,23.4462,9988.15,CNY,56.67,77.86
CARRI0052,Carrier_0052,sea,South,SG,parcel,teu,17.31122138,23.1908755,15.77591859,economy,Y,N,N,non-asset,ISO,50,13239.28,SGD,35.15,82.94
CARRI0053,Carrier_0053,multimodal,Central,MX,FTL,teu,7.119685864,11.26666332,2.738071488,economy,Y,Y,Y,asset,TAPA,18.6755,10691.21,MXN,68.1,79.32
CARRI0054,Carrier_0054,sea,Central,BR,LTL,teu,16.60433085,22.90145506,13.485013,standard,N,N,Y,non-asset,TAPA,13.551,17637.63,BRL,62.62,87.81
CARRI0055,Carrier_0055,road,South,US,FTL,kg,3.486660874,6.935871715,0.5,standard,N,N,N,asset,TAPA|C-TPAT,12.8788,21813.43,USD,59.48,85.07
CARRI0056,Carrier_0056,air,South,DE,FTL,teu,0.8,3.607537122,0.5,express,N,Y,Y,asset,,25.1209,10070.88,EUR,64.22,86.01
CARRI0057,Carrier_0057,air,East,BR,FTL,kg,2.175555907,6.788445817,0.5,express,Y,N,Y,asset,ISO,17.1478,9213.37,BRL,80.17,91.98
CARRI0058,Carrier_0058,rail,South,IN,LTL,kg,4.933068967,15.42689695,3.40929053,express,N,Y,Y,asset,ISO|C-TPAT,17.4087,6050.48,INR,78.56,76.82
CARRI0059,Carrier_0059,sea,Central,SG,parcel,kg,18.03600485,22.32594185,16.94947371,economy,N,Y,Y,asset,TAPA|C-TPAT,22.7872,13806.28,SGD,62.89,77.18
CARRI0060,Carrier_0060,rail,East,BR,FTL,cbm,7.240502436,18.77159606,1.268323663,standard,N,N,N,asset,TAPA|ISO,13.994,15575.05,BRL,63.56,84.37
CARRI0061,Carrier_0061,sea,West,CN,LTL,kg,19.8062087,24.8126138,17.7303554,standard,N,Y,Y,asset,C-TPAT|ISO,13.3542,19271.65,CNY,50.16,80.85
CARRI0062,Carrier_0062,sea,West,CN,LTL,cbm,20.38488549,23.08148159,17.69966773,express,Y,Y,Y,asset,ISO|TAPA,12.8263,15026.19,CNY,52.86,70.17
CARRI0063,Carrier_0063,air,West,US,parcel,teu,2.431741609,13.5387598,0.5,economy,N,N,Y,non-asset,ISO,20.5016,4750.38,USD,60.68,90.55
CARRI0064,Carrier_0064,road,West,SG,LTL,cbm,4.228192131,8.56270204,0.5,express,N,Y,Y,asset,TAPA|C-TPAT,31.4994,11937.71,SGD,79.16,91.75
CARRI0065,Carrier_0065,air,North,CN,parcel,teu,1.723792788,11.73294963,0.5,express,N,N,Y,non-asset,,26.4221,9574.41,CNY,83.46,97.23
CARRI0066,Carrier_0066,rail,North,SG,parcel,cbm,10.07332012,21.88896804,5.626704354,standard,Y,N,Y,non-asset,,16.4915,14392.8,SGD,62.58,82.99
CARRI0067,Carrier_0067,rail,West,SG,LTL,kg,6.022659065,9.942829865,0.922819064,standard,Y,Y,N,asset,C-TPAT,34.5913,13598.17,SGD,52.13,73.44
CARRI0068,Carrier_0068,sea,South,US,parcel,cbm,19.35031149,24.3086884,18.03396158,standard,N,Y,N,asset,,13.1685,12424.48,USD,40.82,60.89
CARRI0069,Carrier_0069,air,South,CN,LTL,teu,0.8,6.657253027,0.5,standard,N,Y,N,asset,TAPA,31.1042,7928.41,CNY,53.91,90.24
CARRI0070,Carrier_0070,multimodal,South,SG,LTL,cbm,13.33153257,16.69146559,7.929241215,standard,N,Y,Y,non-asset,C-TPAT,46.062,8874.22,SGD,58.26,91.37
CARRI0071,Carrier_0071,road,Central,SG,FTL,cbm,4.316104736,12.15643203,1.264114228,economy,Y,N,Y,non-asset,C-TPAT,23.6126,7161.31,SGD,67.18,87.44
CARRI0072,Carrier_0072,road,East,BR,FTL,cbm,5.663322243,11.16432667,1.606592819,standard,N,N,N,non-asset,C-TPAT,36.6491,7617.17,BRL,48.74,84.51
CARRI0073,Carrier_0073,rail,Central,SG,LTL,cbm,9.716419381,16.16858471,3.732277354,standard,N,N,Y,asset,,12.9934,12621.75,SGD,65.72,82.03
CARRI0074,Carrier_0074,sea,North,SG,FTL,teu,15.2011853,26.40244562,11.37843386,standard,N,Y,Y,non-asset,TAPA|ISO,20.9466,10306.82,SGD,63.4,80.48
CARRI0075,Carrier_0075,air,North,SG,FTL,kg,0.8,5.13897766,0.5,standard,N,N,Y,non-asset,TAPA|C-TPAT,24.6133,3615.15,SGD,68.42,90.79
CARRI0076,Carrier_0076,multimodal,Central,CN,LTL,kg,9.197336644,16.30296556,6.480082878,express,Y,N,Y,non-asset,TAPA,19.1042,6437.46,CNY,71.48,91.84
CARRI0077,Carrier_0077,sea,Central,CN,LTL,teu,18.83672077,29.15657216,17.33107845,economy,Y,Y,Y,non-asset,TAPA,10.8173,8980.39,CNY,53.13,80.6
CARRI0078,Carrier_0078,rail,East,BR,parcel,teu,9.488191712,15.46451311,4.540420462,standard,N,Y,N,non-asset,,15.0619,14128.29,BRL,56.02,72.06
CARRI0079,Carrier_0079,multimodal,Central,SG,FTL,teu,10.18444879,18.41528215,7.093694102,standard,Y,N,Y,non-asset,TAPA|C-TPAT,16.0073,10525.33,SGD,60.76,78.41
CARRI0080,Carrier_0080,road,East,CN,parcel,kg,4.42544706,9.7696985,0.781240443,express,N,N,N,non-asset,,31.0063,8774.86,CNY,69.39,76.82
CARRI0081,Carrier_0081,air,East,CN,parcel,teu,1.770220532,4.13862115,0.5,express,Y,N,Y,non-asset,TAPA,15.8199,6733.39,CNY,68.75,100
CARRI0082,Carrier_0082,air,East,DE,FTL,teu,3.997416953,15.30876093,2.907076611,express,N,N,Y,asset,ISO|C-TPAT,24.5433,5216.05,EUR,85.71,99.02
CARRI0083,Carrier_0083,sea,North,BR,parcel,kg,17.2887078,20.60246121,14.46017569,economy,N,Y,N,asset,,9.6666,5028.85,BRL,56.33,80.69
CARRI0084,Carrier_0084,sea,Central,IN,FTL,cbm,17.71467713,24.48001829,12.16906816,standard,N,N,Y,asset,TAPA,14.0538,22524.53,INR,60.94,89.07
CARRI0085,Carrier_0085,road,North,CN,FTL,teu,3.347166412,10.78890808,0.5,standard,N,N,N,asset,,36.1434,10478.09,CNY,64.35,81.09
CARRI0086,Carrier_0086,air,North,DE,FTL,teu,3.714334619,12.81110865,0.5,economy,N,N,Y,asset,C-TPAT|ISO,22.3751,17479.18,EUR,61.52,75.62
CARRI0087,Carrier_0087,air,North,BR,FTL,cbm,3.513895379,5.718655634,1.139257811,economy,N,N,N,non-asset,,13.1601,7833.75,BRL,64.59,67.72
CARRI0088,Carrier_0088,rail,South,DE,LTL,cbm,7.36138481,15.99168198,5.043147949,standard,Y,N,N,asset,,29.531,16714.22,EUR,49.72,81.28
CARRI0089,Carrier_0089,multimodal,South,CN,parcel,kg,7.356325219,16.32172812,5.168177634,economy,N,Y,Y,non-asset,TAPA,33.7421,7163.07,CNY,62.34,80.79
CARRI0090,Carrier_0090,sea,North,DE,FTL,cbm,19.64123916,23.36538536,17.88478116,standard,N,Y,Y,asset,,23.976,8691.58,EUR,68.87,92.02
CARRI0091,Carrier_0091,air,North,MX,FTL,cbm,3.072357047,8.576216353,0.5,standard,N,N,Y,non-asset,,22.8601,5055.09,MXN,73.12,77.28
CARRI0092,Carrier_0092,air,East,DE,parcel,kg,3.274677017,5.618124684,2.579954957,economy,N,N,Y,asset,C-TPAT|ISO,24.6759,18644.56,EUR,72.06,89.29
CARRI0093,Carrier_0093,sea,North,MX,FTL,teu,18.25575331,23.32620124,14.06045582,standard,N,Y,Y,asset,,9.9373,14370.18,MXN,56.53,67.67
CARRI0094,Carrier_0094,air,South,BR,FTL,cbm,0.8,7.7400169,0.5,economy,Y,Y,N,asset,C-TPAT,19.9027,4946.43,BRL,59.01,66.88
CARRI0095,Carrier_0095,rail,East,MX,FTL,teu,3.586646381,7.356176592,1.977585427,express,N,N,Y,asset,C-TPAT|TAPA,30.1421,10162.09,MXN,81.67,91.57
CARRI0096,Carrier_0096,road,East,IN,parcel,cbm,4.453265598,7.643630139,2.756234208,express,N,N,Y,asset,ISO,42.0493,10060.67,INR,80.53,91.03
CARRI0097,Carrier_0097,sea,West,US,parcel,cbm,16.9466903,22.36919664,12.91602564,economy,N,N,Y,asset,C-TPAT|TAPA,9.3301,10933.11,USD,53.79,87.71
CARRI0098,Carrier_0098,multimodal,East,BR,LTL,cbm,8.732137073,11.21755067,6.491367828,express,N,N,N,non-asset,,16.2708,13223.94,BRL,54.77,83.87
CARRI0099,Carrier_0099,rail,Central,BR,FTL,cbm,4.45687531,15.17537727,0.5,express,Y,Y,N,non-asset,C-TPAT|ISO,20.6071,4528.71,BRL,57.02,84.2
CARRI0100,Carrier_0100,air,West,IN,LTL,teu,0.8,11.72182739,0.5,standard,Y,N,Y,asset,TAPA,20.2178,11908.79,INR,73.21,87.73
CARRI0101,Carrier_0101,sea,East,BR,parcel,kg,17.9545083,20.62963579,15.19555981,standard,N,N,N,asset,C-TPAT|ISO,31.499,12677.41,BRL,49.63,72.88
CARRI0102,Carrier_0102,multimodal,Central,MX,FTL,kg,9.517084427,17.23417614,3.690838758,express,Y,N,Y,asset,C-TPAT|TAPA,23.7703,13666.62,MXN,85.57,97.12
CARRI0103,Carrier_0103,rail,Central,US,FTL,teu,5.114830862,10.89649722,2.618692585,standard,N,N,Y,asset,ISO|TAPA,17.9952,17089.05,USD,76.55,91.93
CARRI0104,Carrier_0104,multimodal,Central,CN,FTL,kg,10.91725416,13.3335469,5.945079886,economy,Y,N,Y,non-asset,ISO|C-TPAT,32.5241,6836.59,CNY,64.92,84.11
CARRI0105,Carrier_0105,road,East,SG,LTL,kg,6.879778571,15.71360188,1.788724617,standard,N,N,Y,asset,ISO,21.4488,9743.94,SGD,64.72,100
CARRI0106,Carrier_0106,sea,Central,DE,parcel,teu,19.67908584,25.55752839,17.71200936,express,Y,N,N,asset,TAPA,18.1359,24651.15,EUR,55.04,80.17
CARRI0107,Carrier_0107,sea,South,US,LTL,teu,17.39137792,28.74567012,11.73643657,express,N,Y,Y,non-asset,C-TPAT,12.7053,7862.31,USD,59.08,78.78
CARRI0108,Carrier_0108,sea,West,DE,FTL,kg,19.88142831,24.62834192,19.35556862,express,N,N,N,asset,C-TPAT,34.7812,16169.12,EUR,53.78,75.47
CARRI0109,Carrier_0109,sea,East,MX,parcel,cbm,17.40966357,28.56404644,15.48366323,express,Y,Y,N,asset,,20.151,14250.69,MXN,50.01,74.54
CARRI0110,Carrier_0110,sea,South,CN,FTL,cbm,18.52383847,29.34454017,14.77018977,economy,N,Y,Y,asset,ISO,18.9079,8049.86,CNY,49.39,79.96
CARRI0111,Carrier_0111,road,East,CN,LTL,kg,4.648132551,13.57791717,1.171544094,express,Y,N,Y,non-asset,TAPA|C-TPAT,40.9504,18333.5,CNY,80.95,85.65
CARRI0112,Carrier_0112,air,West,SG,FTL,kg,2.145275826,4.620429751,0.5,express,N,N,Y,asset,C-TPAT|TAPA,23.22,9117.6,SGD,75.07,87.24
CARRI0113,Carrier_0113,road,West,US,LTL,teu,5.492707106,10.79823523,3.279971597,standard,N,N,Y,non-asset,C-TPAT,19.3504,10368.88,USD,78.01,93.06
CARRI0114,Carrier_0114,road,South,IN,parcel,kg,4.151543201,12.9633919,0.5,standard,N,N,Y,non-asset,,30.6342,8812.57,INR,68.6,94.82
CARRI0115,Carrier_0115,air,Central,MX,FTL,teu,2.709097423,5.264803758,0.5,standard,N,N,N,non-asset,TAPA|ISO,27.2995,9893.66,MXN,68.56,83.23
CARRI0116,Carrier_0116,multimodal,Central,BR,LTL,cbm,7.222180652,15.32344582,5.242844953,economy,N,N,N,asset,ISO,12.8666,8071.81,BRL,48.45,68.29
CARRI0117,Carrier_0117,rail,North,SG,parcel,kg,11.11138488,18.61032499,10.12850727,express,Y,N,N,non-asset,C-TPAT|ISO,24.294,11699.03,SGD,47.6,70.65
CARRI0118,Carrier_0118,sea,Central,IN,parcel,kg,14.9911964,25.17712465,10.65727113,standard,Y,Y,Y,non-asset,,12.9971,14627.28,INR,57.46,86.81
CARRI0119,Carrier_0119,sea,West,CN,LTL,kg,18.38598044,20.88049302,14.77057599,express,N,N,Y,asset,,32.7835,10881.1,CNY,60.33,98.26
CARRI0120,Carrier_0120,air,East,SG,parcel,kg,1.05968823,7.001613864,0.5,economy,N,Y,Y,asset,C-TPAT|ISO,22.0203,8144.52,SGD,68.44,75.44
CARRI0121,Carrier_0121,air,West,US,parcel,cbm,3.037539827,5.451989949,2.276099272,standard,N,Y,N,asset,,25.2481,5977.31,USD,72.18,92.75
CARRI0122,Carrier_0122,air,North,US,FTL,kg,1.289308921,3.844429321,0.5,standard,N,N,Y,asset,,21.7412,6290.62,USD,67.92,90.41
CARRI0123,Carrier_0123,road,North,DE,FTL,teu,1.365008261,6.029288819,0.5,express,N,N,Y,asset,ISO|TAPA,48.8238,5715.63,EUR,84.67,93.27
CARRI0124,Carrier_0124,air,South,CN,LTL,kg,0.924366624,5.873914964,0.5,economy,N,N,N,asset,,17.215,6641.57,CNY,52.84,66.17
CARRI0125,Carrier_0125,multimodal,East,MX,FTL,teu,10.70677535,12.97405472,8.891346949,express,N,N,Y,asset,TAPA|ISO,23.667,12174.74,MXN,63.24,73.12
CARRI0126,Carrier_0126,rail,East,IN,parcel,teu,7.545061046,13.39563829,4.292833238,standard,N,Y,Y,non-asset,ISO,26.2607,13812.89,INR,67.55,83.08
CARRI0127,Carrier_0127,rail,East,CN,LTL,cbm,6.640053756,15.9865103,2.584330271,standard,N,N,N,asset,ISO|TAPA,40.8656,13252.51,CNY,66.28,86.8
CARRI0128,Carrier_0128,air,East,BR,FTL,teu,1.399675071,3.695096518,0.5,economy,Y,N,N,asset,TAPA|ISO,32.1728,4673.01,BRL,47.75,69.29
CARRI0129,Carrier_0129,multimodal,North,BR,parcel,teu,8.582477494,17.64829668,5.704877269,express,N,N,Y,asset,ISO|TAPA,24.6427,12683.57,BRL,73.65,91.71
CARRI0130,Carrier_0130,air,East,US,parcel,cbm,0.8,10.18033098,0.5,standard,N,N,Y,non-asset,ISO,31.081,14432.26,USD,77.22,98.55
CARRI0131,Carrier_0131,road,Central,US,FTL,kg,5.024070656,16.51783372,0.512463663,standard,N,N,Y,asset,ISO|TAPA,11.9712,17337.2,USD,70.67,85.72
CARRI0132,Carrier_0132,rail,South,CN,LTL,cbm,6.290922761,8.791540979,4.514801532,standard,N,N,N,asset,,17.9335,8802.59,CNY,55.75,71.29
CARRI0133,Carrier_0133,rail,North,SG,FTL,cbm,8.632729123,14.18149619,6.265046575,express,N,Y,Y,asset,ISO|TAPA,18.7361,9725.32,SGD,54.75,92.06
CARRI0134,Carrier_0134,sea,North,MX,FTL,cbm,16.91298421,25.14405325,11.50380317,standard,Y,N,Y,non-asset,C-TPAT|TAPA,27.8993,19697.79,MXN,60.76,82.26
CARRI0135,Carrier_0135,multimodal,South,US,parcel,teu,9.20633696,17.04274188,5.130326182,express,N,N,N,asset,,14.7438,5414.57,USD,63.43,80.71
CARRI0136,Carrier_0136,multimodal,East,CN,LTL,kg,9.285095239,17.40219566,4.964979747,economy,N,N,N,asset,C-TPAT,21.956,8361.39,CNY,58.25,86.3
CARRI0137,Carrier_0137,sea,East,MX,LTL,teu,19.70278557,22.37447072,17.46720661,standard,N,Y,Y,asset,,8.4665,19335.76,MXN,45.29,82.49
CARRI0138,Carrier_0138,rail,South,DE,FTL,kg,6.923589051,17.08159646,1.301204423,standard,N,N,N,asset,C-TPAT,18.4642,8231.12,EUR,69.32,88.32
CARRI0139,Carrier_0139,multimodal,West,DE,parcel,teu,6.781577981,11.61523864,2.825402962,express,Y,N,Y,asset,,12.4807,13442.48,EUR,81.36,97.4
CARRI0140,Carrier_0140,air,North,BR,FTL,kg,1.34363083,11.81870879,0.5,standard,Y,N,N,non-asset,,28.1753,7269.96,BRL,57.22,75.71
CARRI0141,Carrier_0141,multimodal,South,CN,parcel,kg,7.56595571,12.94814412,5.510662733,express,N,N,Y,asset,,8.9567,9126.53,CNY,79.6,87.61
CARRI0142,Carrier_0142,multimodal,East,BR,FTL,kg,8.719650269,11.25095188,7.18154665,standard,N,N,Y,asset,TAPA|C-TPAT,16.0304,13194.15,BRL,71.7,93.26
CARRI0143,Carrier_0143,sea,West,MX,LTL,cbm,18.3214623,25.67004912,17.099709,economy,N,N,N,asset,C-TPAT,29.6543,9927.92,MXN,39.16,64.57
CARRI0144,Carrier_0144,road,South,US,FTL,kg,7.155442884,18.79284742,5.094600396,standard,N,N,Y,non-asset,,17.0512,7841.79,USD,74.21,85.19
CARRI0145,Carrier_0145,air,South,SG,FTL,teu,2.415223808,5.903315521,0.5,express,N,N,N,asset,,27.596,7455.21,SGD,60.08,88.78
CARRI0146,Carrier_0146,multimodal,West,US,parcel,teu,10.21383358,20.41687422,6.049385745,standard,N,N,N,asset,ISO|C-TPAT,18.8581,17863.55,USD,53.79,80.5
CARRI0147,Carrier_0147,multimodal,East,SG,LTL,kg,10.03941717,19.31800933,7.546635718,express,N,N,Y,asset,,20.1559,7095.72,SGD,49.59,59.43
CARRI0148,Carrier_0148,road,North,US,LTL,teu,0.8,7.927361555,0.5,express,Y,Y,Y,non-asset,TAPA|ISO,21.7082,6261.28,USD,86.1,100
CARRI0149,Carrier_0149,rail,Central,BR,FTL,kg,5.428865793,12.31229397,3.322102707,economy,N,Y,N,asset,C-TPAT|ISO,36.6373,9610.49,BRL,49.29,83.2
CARRI0150,Carrier_0150,air,Central,DE,FTL,kg,4.485184744,11.37462891,2.13707961,express,N,N,Y,asset,ISO,50,6295.04,EUR,69.57,80.34
CARRI0151,Carrier_0151,multimodal,East,IN,LTL,teu,7.865245207,14.496245,2.962496686,economy,N,N,N,non-asset,C-TPAT|TAPA,20.1827,7299.85,INR,52.71,81.02
CARRI0152,Carrier_0152,multimodal,Central,IN,LTL,cbm,11.29832875,17.22710812,8.577926243,standard,N,N,Y,asset,C-TPAT,19.6002,11653.68,INR,62.93,87.54
CARRI0153,Carrier_0153,air,South,CN,FTL,cbm,1.794261145,6.043791525,0.5,express,N,Y,Y,non-asset,,30.4806,6974.77,CNY,72.93,88.62
CARRI0154,Carrier_0154,sea,Central,US,parcel,cbm,19.14386727,23.22318878,16.3549304,standard,N,N,N,asset,TAPA,26.9316,6922.17,USD,38.83,66.24
