item_id,lane_id,origin_region,origin_country,origin_city,dest_region,dest_country,dest_city,mode,distance_km,typical_volume_teu,transit_days_typical,avg_cost_per_shipment,customs_required
LANEI0102,LANE-00102,North,BR,Delhi,South,IN,Munich,air,973.2,0.446,3.97,1462.82,Y
LANEI0103,LANE-00103,Central,SG,Pune,West,MX,Cologne,rail,538.85,1.174,2.04,910.53,Y
LANEI0104,LANE-00104,South,BR,Chennai,West,US,Austin,road,534.05,0.625,5.01,461.45,Y
LANEI0105,LANE-00105,West,DE,Austin,South,BR,Mumbai,air,983.48,0.05,2.53,1907.36,N
LANEI0106,LANE-00106,East,BR,Shenzhen,South,IN,Bangalore,road,310.05,1.356,0.6,630.17,Y
LANEI0107,LANE-00107,Central,DE,Pune,South,BR,Munich,sea,2202.6,7.337,10.37,1245.16,Y
LANEI0108,LANE-00108,East,IN,Shanghai,West,MX,Los Angeles,air,731.24,0.256,2.88,1262.1,Y
LANEI0109,LANE-00109,West,DE,Phoenix,South,MX,Bangalore,air,972.72,0.221,5.72,2513.46,Y
LANEI0110,LANE-00110,East,DE,Shizuoka,South,DE,Munich,rail,608.17,1.708,2.81,1110.96,N
LANEI0111,LANE-00111,West,BR,Phoenix,East,US,Shanghai,rail,931.07,1.616,1.87,1168.89,Y
LANEI0112,LANE-00112,North,SG,Beijing,East,US,Shenzhen,rail,1081.64,1.585,5.23,753.95,Y
LANEI0113,LANE-00113,East,US,Shizuoka,West,BR,Cologne,sea,2360.87,8.216,12.22,806.79,Y
LANEI0114,LANE-00114,North,CN,Beijing,Central,US,Frankfurt,air,911.45,0.686,1.48,2678.48,Y
LANEI0115,LANE-00115,East,CN,Shenzhen,West,BR,Austin,air,524.69,0.21,0.93,1688.45,Y
LANEI0116,LANE-00116,South,SG,Chennai,East,BR,Newark,air,499.33,0.285,1.19,1710.76,Y
LANEI0117,LANE-00117,North,MX,Berlin,West,DE,Phoenix,road,431.44,1.073,3.67,1057.98,Y
LANEI0118,LANE-00118,West,US,Austin,East,IN,Shizuoka,rail,1065.45,1.412,6.46,571.26,Y
LANEI0119,LANE-00119,East,MX,Newark,West,IN,Los Angeles,air,494.49,0.374,3.33,1893.45,Y
LANEI0120,LANE-00120,East,US,Shenzhen,North,MX,Beijing,sea,2606.66,7.96,12.95,691.47,Y
LANEI0121,LANE-00121,Central,DE,Pune,North,BR,Beijing,road,604.51,0.841,1.68,760.34,Y
LANEI0122,LANE-00122,East,SG,Shanghai,North,US,Berlin,air,1059.58,0.067,0.6,1814.85,Y
LANEI0123,LANE-00123,North,CN,Berlin,South,BR,Munich,road,516.61,0.485,4.01,512.63,Y
LANEI0124,LANE-00124,West,BR,Cologne,Central,DE,Hyderabad,road,462.12,0.417,2.58,935.13,Y
LANEI0125,LANE-00125,East,IN,Shenzhen,Central,SG,Hyderabad,sea,1904.37,7.835,11.01,687.97,Y
LANEI0126,LANE-00126,West,MX,Los Angeles,North,BR,Toronto,rail,867.77,1.137,2.03,517.97,Y
LANEI0127,LANE-00127,South,US,Bangalore,West,IN,Los Angeles,rail,981.38,1.968,5.84,805.5,Y
LANEI0128,LANE-00128,East,CN,Shanghai,Central,SG,Frankfurt,air,1197.72,0.062,3.11,1932.1,Y
LANEI0129,LANE-00129,South,US,Munich,West,SG,Austin,air,880.84,0.655,2.43,3167.7,Y
LANEI0130,LANE-00130,East,SG,Shizuoka,South,BR,Munich,rail,991.22,1.355,4.86,962.14,N
LANEI0131,LANE-00131,North,CN,Delhi,West,BR,Los Angeles,sea,3233.9,7.98,14.99,596.05,Y
LANEI0132,LANE-00132,East,US,Shizuoka,North,SG,Berlin,rail,672.12,1.604,4.56,615.05,Y
LANEI0133,LANE-00133,Central,SG,Hyderabad,South,SG,Munich,rail,486.7,1.081,5.19,175.61,N
LANEI0134,LANE-00134,West,CN,Cologne,North,BR,Toronto,rail,825.18,1.213,5.14,425.17,N
LANEI0135,LANE-00135,North,DE,Delhi,West,MX,Austin,air,769.44,0.537,3.61,2412.41,Y
LANEI0136,LANE-00136,Central,MX,Hyderabad,South,MX,Munich,air,668.98,0.558,2.45,2488.24,N
LANEI0137,LANE-00137,East,DE,Shizuoka,Central,SG,Frankfurt,road,359.89,1.268,5.2,1403.24,Y
LANEI0138,LANE-00138,North,MX,Berlin,South,BR,Bangalore,rail,449.99,2.104,6.64,766.05,Y
LANEI0139,LANE-00139,West,US,Los Angeles,South,SG,Chennai,air,661.88,0.87,1.53,2526.18,Y
LANEI0140,LANE-00140,East,SG,Newark,North,SG,Beijing,road,419.41,1.846,0.6,304.64,N
LANEI0141,LANE-00141,South,BR,Mumbai,East,IN,Shizuoka,road,529.33,1.18,4.27,1018.22,N
LANEI0142,LANE-00142,Central,DE,Frankfurt,South,IN,Mumbai,rail,1044.48,1.977,5.96,2067.95,Y
LANEI0143,LANE-00143,South,IN,Munich,East,BR,Shenzhen,rail,758.42,1.76,6.12,1010.72,Y
LANEI0144,LANE-00144,South,BR,Mumbai,North,IN,Delhi,rail,897.37,1.373,4.93,1087.28,Y
LANEI0145,LANE-00145,West,BR,Los Angeles,North,US,Toronto,rail,890.58,1.506,6.04,1137.28,Y
LANEI0146,LANE-00146,North,SG,Toronto,South,US,Chennai,rail,1031.98,1.437,3.28,318.57,Y
LANEI0147,LANE-00147,East,IN,Shizuoka,North,IN,Berlin,road,412.06,0.518,0.72,1672.79,N
LANEI0148,LANE-00148,West,SG,Phoenix,East,SG,Shenzhen,road,477.82,1.458,3.0,403.04,N
LANEI0149,LANE-00149,North,DE,Beijing,South,US,Munich,road,200.01,0.674,2.91,797.93,Y
LANEI0150,LANE-00150,Central,BR,Frankfurt,West,IN,Phoenix,air,622.78,0.165,0.6,831.57,N
LANEI0151,LANE-00151,East,US,Newark,North,BR,Beijing,road,448.02,1.163,4.14,645.68,Y
LANEI0152,LANE-00152,South,MX,Chennai,North,CN,Toronto,rail,865.55,1.327,6.03,961.02,N
LANEI0153,LANE-00153,North,CN,Berlin,West,US,Austin,rail,784.64,1.206,6.85,769.16,N
LANEI0154,LANE-00154,East,IN,Shizuoka,South,SG,Chennai,air,617.9,0.566,1.7,1498.31,Y
LANEI0155,LANE-00155,Central,IN,Chicago,South,SG,Chennai,sea,2696.37,8.604,12.82,1994.72,Y
LANEI0156,LANE-00156,East,BR,Shenzhen,West,BR,Phoenix,air,914.95,0.289,1.58,791.47,N
LANEI0157,LANE-00157,North,MX,Toronto,East,CN,Shenzhen,sea,2684.41,8.138,14.72,1446.78,Y
LANEI0158,LANE-00158,South,US,Munich,East,DE,Shizuoka,road,226.51,0.274,0.6,604.89,Y
LANEI0159,LANE-00159,East,CN,Shenzhen,South,CN,Bangalore,rail,729.84,0.953,5.18,947.02,N
LANEI0160,LANE-00160,Central,SG,Pune,South,BR,Bangalore,air,887.56,0.551,2.78,1010.19,Y
LANEI0161,LANE-00161,South,DE,Bangalore,West,BR,Phoenix,air,612.42,0.447,1.31,572.45,Y
LANEI0162,LANE-00162,Central,IN,Chicago,East,US,Newark,air,963.55,0.311,0.6,2622.54,Y
LANEI0163,LANE-00163,East,BR,Shenzhen,North,MX,Beijing,road,467.11,0.375,2.81,674.04,N
LANEI0164,LANE-00164,West,MX,Los Angeles,Central,IN,Pune,road,215.84,0.901,4.13,729.41,Y
LANEI0165,LANE-00165,North,CN,Toronto,South,MX,Mumbai,sea,3394.46,8.077,10.22,1476.74,Y
LANEI0166,LANE-00166,West,MX,Cologne,South,CN,Bangalore,air,439.76,0.862,1.11,1593.82,Y
LANEI0167,LANE-00167,West,BR,Cologne,East,US,Shanghai,rail,1436.46,1.701,2.23,629.31,Y
LANEI0168,LANE-00168,South,MX,Munich,North,IN,Beijing,rail,1059.0,1.525,5.77,926.31,Y
LANEI0169,LANE-00169,Central,SG,Frankfurt,South,MX,Mumbai,road,485.81,1.106,3.14,474.75,Y
LANEI0170,LANE-00170,North,MX,Beijing,Central,CN,Pune,sea,2995.65,7.565,13.96,760.06,Y
LANEI0171,LANE-00171,Central,DE,Chicago,East,CN,Shenzhen,rail,1169.09,1.369,8.25,817.2,Y
LANEI0172,LANE-00172,West,CN,Cologne,East,BR,Shanghai,air,719.97,0.054,4.02,2147.53,Y
LANEI0173,LANE-00173,East,SG,Shenzhen,Central,MX,Hyderabad,rail,971.45,1.594,3.17,364.46,Y
LANEI0174,LANE-00174,East,IN,Shanghai,West,DE,Austin,air,510.36,0.285,1.78,2589.74,Y
LANEI0175,LANE-00175,North,US,Berlin,Central,IN,Pune,road,378.48,0.414,2.88,2023.16,Y
LANEI0176,LANE-00176,Central,MX,Hyderabad,South,DE,Bangalore,road,401.61,0.616,3.02,498.54,Y
LANEI0177,LANE-00177,East,CN,Shanghai,East,DE,Newark,rail,933.84,1.564,2.8,1510.52,Y
LANEI0178,LANE-00178,West,SG,Austin,North,SG,Delhi,road,516.48,0.93,6.41,1391.39,N
LANEI0179,LANE-00179,Central,MX,Pune,West,IN,Cologne,road,426.5,0.781,3.7,992.97,Y
LANEI0180,LANE-00180,West,SG,Los Angeles,South,MX,Munich,road,315.45,0.999,2.88,592.19,Y
LANEI0181,LANE-00181,West,SG,Los Angeles,South,MX,Bangalore,road,471.93,1.458,2.35,696.81,Y
LANEI0182,LANE-00182,West,IN,Los Angeles,North,IN,Toronto,rail,1219.28,1.496,7.13,832.11,N
LANEI0183,LANE-00183,West,IN,Phoenix,South,MX,Munich,road,502.6,0.634,3.34,387.0,Y
LANEI0184,LANE-00184,West,IN,Los Angeles,North,BR,Berlin,road,502.53,0.436,4.46,241.05,Y
LANEI0185,LANE-00185,South,US,Mumbai,West,MX,Los Angeles,air,806.61,0.239,0.6,1918.37,Y
LANEI0186,LANE-00186,North,DE,Toronto,North,CN,Berlin,sea,1573.2,8.04,10.81,1269.41,Y
LANEI0187,LANE-00187,South,US,Mumbai,Central,US,Pune,sea,2873.44,7.935,12.02,441.05,N
LANEI0188,LANE-00188,East,US,Shenzhen,South,BR,Mumbai,road,375.89,0.991,1.83,378.75,Y
LANEI0189,LANE-00189,East,BR,Shanghai,South,SG,Mumbai,road,462.64,0.409,1.4,450.7,Y
LANEI0190,LANE-00190,East,IN,Newark,North,BR,Berlin,air,877.27,0.188,2.09,1368.46,Y
LANEI0191,LANE-00191,East,DE,Shizuoka,West,CN,Phoenix,rail,1053.5,1.654,5.71,887.25,Y
LANEI0192,LANE-00192,South,BR,Mumbai,East,SG,Newark,sea,2990.93,7.879,13.34,507.94,Y
LANEI0193,LANE-00193,Central,CN,Frankfurt,East,MX,Shizuoka,rail,733.58,2.025,5.06,882.86,N
LANEI0194,LANE-00194,West,IN,Phoenix,North,BR,Beijing,sea,1682.42,8.066,10.95,457.25,Y
LANEI0195,LANE-00195,North,DE,Beijing,South,DE,Bangalore,sea,1746.64,7.929,12.38,732.88,N
LANEI0196,LANE-00196,East,SG,Shizuoka,Central,DE,Frankfurt,road,578.31,1.048,3.2,283.8,N
LANEI0197,LANE-00197,South,IN,Mumbai,West,BR,Los Angeles,road,342.76,1.252,2.27,1413.76,Y
LANEI0198,LANE-00198,East,US,Shizuoka,Central,CN,Pune,sea,2265.97,7.531,11.76,321.97,Y
LANEI0199,LANE-00199,South,US,Munich,West,BR,Phoenix,sea,1666.98,7.429,12.1,897.7,Y
LANEI0200,LANE-00200,East,IN,Shanghai,West,US,Phoenix,air,931.99,0.326,3.97,2816.46,Y
LANEI0201,LANE-00201,South,SG,Munich,West,MX,Cologne,road,481.09,0.241,5.59,661.15,Y
LANEI0202,LANE-00202,South,IN,Mumbai,North,IN,Delhi,road,593.63,1.147,3.01,188.84,N
LANEI0203,LANE-00203,South,US,Chennai,North,US,Delhi,road,461.19,1.126,7.43,707.96,N
LANEI0204,LANE-00204,East,CN,Shanghai,West,BR,Austin,road,548.34,0.53,1.94,1652.68,Y
LANEI0205,LANE-00205,Central,BR,Chicago,East,US,Shenzhen,sea,3037.81,8.066,10.25,651.55,N
LANEI0206,LANE-00206,South,MX,Bangalore,Central,MX,Chicago,air,364.28,0.05,4.94,889.69,N
LANEI0207,LANE-00207,Central,IN,Pune,South,MX,Bangalore,rail,477.34,1.366,5.86,414.02,N
LANEI0208,LANE-00208,South,MX,Chennai,North,SG,Berlin,air,729.78,0.454,0.81,1620.47,Y
LANEI0209,LANE-00209,West,BR,Los Angeles,East,US,Shenzhen,road,424.34,1.43,3.99,1360.41,Y
LANEI0210,LANE-00210,West,US,Phoenix,South,BR,Bangalore,road,525.5,0.556,3.24,1914.09,Y
LANEI0211,LANE-00211,West,BR,Cologne,East,SG,Shizuoka,road,476.35,0.575,2.12,740.56,Y
LANEI0212,LANE-00212,South,CN,Bangalore,East,BR,Shanghai,air,706.18,0.05,1.91,1294.72,N
LANEI0213,LANE-00213,South,MX,Munich,East,IN,Shanghai,sea,1853.1,7.924,11.88,204.22,Y
LANEI0214,LANE-00214,West,SG,Los Angeles,East,IN,Shenzhen,air,468.29,0.767,0.6,2010.64,Y
LANEI0215,LANE-00215,West,US,Cologne,Central,IN,Pune,rail,989.7,1.71,3.7,1632.71,Y
LANEI0216,LANE-00216,South,BR,Munich,North,SG,Delhi,road,762.14,0.769,4.73,1513.63,N
LANEI0217,LANE-00217,North,IN,Delhi,West,DE,Austin,rail,816.88,1.653,5.48,547.37,Y
LANEI0218,LANE-00218,South,DE,Mumbai,East,MX,Shenzhen,air,740.01,0.05,1.92,2434.19,Y
LANEI0219,LANE-00219,West,DE,Phoenix,North,MX,Beijing,road,315.89,1.05,3.48,1761.81,Y
LANEI0220,LANE-00220,West,DE,Austin,Central,BR,Hyderabad,sea,2180.24,6.857,11.8,548.86,Y
LANEI0221,LANE-00221,East,MX,Shenzhen,South,BR,Chennai,rail,781.51,1.793,3.83,396.25,Y
LANEI0222,LANE-00222,West,CN,Cologne,South,DE,Chennai,sea,2001.57,7.825,12.21,406.02,N
LANEI0223,LANE-00223,South,IN,Bangalore,West,DE,Los Angeles,road,430.57,0.736,3.16,604.87,Y
LANEI0224,LANE-00224,North,BR,Berlin,West,MX,Los Angeles,air,755.27,0.334,1.48,2100.29,Y
LANEI0225,LANE-00225,South,CN,Mumbai,West,US,Los Angeles,air,692.46,0.885,2.85,841.59,Y
LANEI0226,LANE-00226,West,MX,Austin,North,CN,Berlin,sea,2084.05,8.469,11.08,538.25,Y
LANEI0227,LANE-00227,Central,IN,Hyderabad,East,MX,Shenzhen,air,760.98,0.116,3.71,2946.28,Y
LANEI0228,LANE-00228,South,IN,Bangalore,West,IN,Cologne,sea,2446.67,8.081,13.01,444.87,N
LANEI0229,LANE-00229,West,DE,Phoenix,West,BR,Phoenix,road,286.16,0.928,3.33,1139.56,Y
LANEI0230,LANE-00230,North,US,Beijing,Central,CN,Hyderabad,road,521.72,0.713,3.62,432.7,Y
LANEI0231,LANE-00231,North,MX,Delhi,West,SG,Phoenix,road,212.7,0.915,4.33,1027.18,Y
LANEI0232,LANE-00232,East,SG,Shizuoka,West,IN,Phoenix,air,818.29,0.547,0.6,974.66,Y
LANEI0233,LANE-00233,Central,IN,Frankfurt,West,BR,Los Angeles,sea,2457.85,9.016,12.76,485.64,Y
LANEI0234,LANE-00234,West,SG,Los Angeles,South,IN,Bangalore,sea,2433.42,8.266,13.77,1759.06,Y
LANEI0235,LANE-00235,East,IN,Shenzhen,North,US,Berlin,road,349.67,1.313,3.73,424.46,Y
LANEI0236,LANE-00236,South,IN,Munich,Central,MX,Hyderabad,road,370.69,0.968,3.76,284.06,Y
LANEI0237,LANE-00237,East,CN,Shanghai,North,US,Toronto,rail,1099.32,1.382,5.23,774.58,Y
LANEI0238,LANE-00238,South,US,Chennai,North,BR,Berlin,sea,3156.14,7.935,11.1,1853.49,Y
LANEI0239,LANE-00239,East,SG,Shenzhen,West,BR,Los Angeles,sea,1249.0,7.853,10.7,295.59,N
LANEI0240,LANE-00240,East,IN,Shanghai,South,SG,Bangalore,sea,960.28,7.601,10.36,563.53,N
LANEI0241,LANE-00241,East,MX,Shanghai,South,SG,Bangalore,sea,1267.52,8.788,11.81,536.47,Y
LANEI0242,LANE-00242,North,BR,Toronto,East,US,Shenzhen,rail,705.35,1.732,5.89,386.39,Y
