item_id,warehouse_id,location,country,region,city,capacity_sqft,capacity_pallets,capacity_volume_cbm,capabilities,temperature_zone,hazmat_capable,lead_time_days_receipt,lead_time_days_ship,last_mile_radius_km,automation_level
WARI0072,WH-00072,Market Blvd 72,MX,South,Pune,50000.0,1134,10018.59,returns,chilled,N,11.3,10.46,29.28,semi-auto
WARI0073,WH-00073,Industrial Rd 73,US,South,Frankfurt,50000.0,1831,12784.52,returns|cross-dock|pick/pack,ambient,N,6.83,8.0,50.91,semi-auto
WARI0074,WH-00074,Market Blvd 74,IN,South,Bangalore,50000.0,1180,12867.86,returns|pick/pack|VAS,chilled,N,2.91,0.28,22.56,semi-auto
WARI0075,WH-00075,Market Blvd 75,IN,North,Mumbai,50000.0,1537,15959.88,pick/pack|returns|kitting,ambient,N,7.94,11.92,30.74,semi-auto
WARI0076,WH-00076,Main St 76,US,East,Bangalore,50000.0,1265,13622.64,cross-dock,ambient,N,7.09,6.35,13.0,manual
WARI0077,WH-00077,Harbor Way 77,US,North,Frankfurt,50000.0,1951,13135.47,kitting|pick/pack|VAS,ambient,N,3.63,3.55,20.88,manual
WARI0078,WH-00078,Market Blvd 78,IN,North,Aurora,50000.0,1182,12844.62,pick/pack|returns|VAS,ambient,N,7.42,6.49,53.69,manual
WARI0079,WH-00079,Harbor Way 79,MX,North,Bangalore,50000.0,1678,13448.4,pick/pack|kitting|cross-dock,ambient,N,9.49,9.54,50.81,manual
WARI0080,WH-00080,Market Blvd 80,BR,East,Aurora,50000.0,1318,14515.67,returns,ambient,N,10.47,9.71,19.36,manual
WARI0081,WH-00081,Main St 81,MX,South,Chicago,50000.0,1299,13630.74,cross-dock,chilled,N,5.65,6.75,12.87,full-auto
WARI0082,WH-00082,Harbor Way 82,US,South,Austin,50000.0,1417,14269.18,VAS|kitting|cross-dock,ambient,N,11.11,12.15,29.31,manual
WARI0083,WH-00083,Main St 83,DE,West,Mumbai,50000.0,1220,11341.0,pick/pack|kitting,frozen,N,10.27,10.15,36.84,manual
WARI0084,WH-00084,Harbor Way 84,MX,West,Chicago,50000.0,1776,12233.15,cross-dock|kitting|returns,ambient,N,4.85,3.52,61.45,manual
WARI0085,WH-00085,Main St 85,SG,South,Pune,50000.0,1279,15607.46,kitting|pick/pack,ambient,Y,4.0,3.51,49.7,semi-auto
WARI0086,WH-00086,Market Blvd 86,BR,North,Pune,50000.0,1709,13508.61,VAS|cross-dock,chilled,N,11.86,13.19,35.92,manual
WARI0087,WH-00087,Industrial Rd 87,BR,Central,Mumbai,50000.0,1519,11288.79,VAS|cross-dock,ambient,N,8.6,7.71,22.01,full-auto
WARI0088,WH-00088,Main St 88,DE,West,Mumbai,50000.0,1112,14775.46,pick/pack|kitting,ambient,N,6.16,6.48,36.73,manual
WARI0089,WH-00089,Industrial Rd 89,BR,East,Berlin,50000.0,1128,10060.14,cross-dock|VAS|returns,frozen,N,8.45,9.45,47.39,full-auto
WARI0090,WH-00090,Industrial Rd 90,BR,South,Mumbai,50000.0,1319,10657.43,VAS,ambient,N,6.62,6.48,27.69,full-auto
WARI0091,WH-00091,Harbor Way 91,DE,East,Chicago,50000.0,1225,11880.89,cross-dock|kitting|returns,frozen,Y,4.08,5.06,30.39,full-auto
WARI0092,WH-00092,Market Blvd 92,BR,Central,Aurora,50000.0,1278,10291.4,pick/pack|returns,chilled,Y,6.28,6.0,41.9,semi-auto
WARI0093,WH-00093,Harbor Way 93,BR,South,Aurora,50000.0,1134,12112.86,VAS|cross-dock,ambient,N,6.01,5.89,32.23,semi-auto
WARI0094,WH-00094,Main St 94,IN,Central,Bangalore,50000.0,1857,12237.39,kitting|cross-dock|VAS,chilled,N,10.16,7.13,63.48,manual
WARI0095,WH-00095,Industrial Rd 95,MX,West,Mumbai,50000.0,1355,14746.28,pick/pack|returns|cross-dock,frozen,Y,6.97,6.61,41.65,semi-auto
WARI0096,WH-00096,Main St 96,US,West,Frankfurt,50000.0,1212,12468.82,kitting|pick/pack,ambient,N,3.81,2.68,38.67,semi-auto
WARI0097,WH-00097,Harbor Way 97,CN,Central,Chicago,50000.0,1583,10297.29,pick/pack|cross-dock|returns,ambient,N,4.75,3.92,43.95,semi-auto
WARI0098,WH-00098,Market Blvd 98,DE,North,Austin,50000.0,1336,12665.69,returns,chilled,N,7.97,7.03,35.37,manual
WARI0099,WH-00099,Main St 99,MX,South,Bangalore,50000.0,1279,15493.87,pick/pack,ambient,N,16.25,13.89,41.8,semi-auto
WARI0100,WH-00100,Industrial Rd 100,BR,North,Aurora,50000.0,1672,10467.52,returns|kitting|pick/pack,ambient,N,4.95,6.82,50.77,manual
WARI0101,WH-00101,Main St 101,SG,Central,Pune,50000.0,1428,10211.08,pick/pack|returns|VAS,ambient,N,8.66,7.87,6.81,semi-auto
WARI0102,WH-00102,Harbor Way 102,BR,Central,Chennai,50000.0,1914,11336.75,cross-dock|VAS|returns,chilled,N,5.68,7.6,45.87,manual
WARI0103,WH-00103,Market Blvd 103,BR,West,Mumbai,50000.0,1271,10330.73,returns|kitting|VAS,chilled,N,6.61,7.01,12.11,full-auto
WARI0104,WH-00104,Harbor Way 104,BR,Central,Chicago,50000.0,1743,12186.01,VAS|pick/pack,chilled,N,3.7,3.06,46.2,full-auto
WARI0105,WH-00105,Harbor Way 105,CN,South,Mumbai,50000.0,1140,11572.71,kitting|VAS|pick/pack,ambient,N,5.19,4.55,26.15,semi-auto
WARI0106,WH-00106,Harbor Way 106,SG,East,Mumbai,50000.0,1536,12732.69,cross-dock,chilled,N,1.12,0.93,47.29,full-auto
WARI0107,WH-00107,Market Blvd 107,DE,West,Mumbai,50000.0,1375,15689.72,kitting|VAS,ambient,N,7.74,11.31,49.01,full-auto
WARI0108,WH-00108,Industrial Rd 108,IN,East,Berlin,50000.0,1160,10216.32,returns,ambient,N,6.8,6.83,35.93,full-auto
WARI0109,WH-00109,Main St 109,MX,West,Chennai,50000.0,1573,13116.38,pick/pack|VAS,ambient,N,12.55,11.98,34.71,manual
WARI0110,WH-00110,Main St 110,SG,South,Chennai,50000.0,1314,11480.42,VAS|kitting|cross-dock,ambient,N,9.15,6.12,28.33,semi-auto
WARI0111,WH-00111,Market Blvd 111,DE,North,Frankfurt,50000.0,1207,16481.16,cross-dock|pick/pack|kitting,ambient,Y,6.07,5.69,38.35,semi-auto
WARI0112,WH-00112,Harbor Way 112,MX,Central,Chicago,50000.0,1154,13330.48,returns,ambient,N,2.58,5.08,41.64,semi-auto
WARI0113,WH-00113,Main St 113,US,East,Chicago,50000.0,1136,12962.71,cross-dock|VAS|kitting,frozen,N,8.45,8.93,41.61,manual
WARI0114,WH-00114,Industrial Rd 114,CN,West,Chicago,50000.0,1557,11069.86,pick/pack|returns,ambient,N,5.35,6.57,34.82,full-auto
WARI0115,WH-00115,Main St 115,CN,South,Bangalore,50000.0,1290,10004.68,VAS|returns|pick/pack,ambient,N,15.1,15.43,26.17,semi-auto
WARI0116,WH-00116,Harbor Way 116,IN,North,Chicago,50000.0,1201,11217.8,VAS,chilled,N,8.72,7.4,38.84,semi-auto
WARI0117,WH-00117,Industrial Rd 117,DE,East,Frankfurt,50000.0,1544,11543.64,kitting,ambient,N,7.0,7.24,29.91,full-auto
WARI0118,WH-00118,Market Blvd 118,IN,South,Mumbai,50000.0,1968,14282.98,VAS,ambient,N,11.44,11.57,33.29,manual
WARI0119,WH-00119,Market Blvd 119,MX,North,Bangalore,50000.0,1113,13679.73,pick/pack,ambient,N,4.67,6.14,25.23,semi-auto
WARI0120,WH-00120,Market Blvd 120,BR,Central,Mumbai,50000.0,1265,15243.57,returns|VAS,ambient,N,10.77,8.41,24.38,semi-auto
WARI0121,WH-00121,Main St 121,MX,Central,Austin,50000.0,1699,13708.08,cross-dock|pick/pack,chilled,Y,6.64,8.46,26.67,semi-auto
WARI0122,WH-00122,Main St 122,IN,Central,Chennai,50000.0,1171,13144.66,VAS|pick/pack|cross-dock,chilled,Y,8.94,8.93,36.67,semi-auto
WARI0123,WH-00123,Harbor Way 123,CN,East,Aurora,50000.0,1696,10947.38,returns|kitting|pick/pack,chilled,Y,8.88,8.73,17.61,semi-auto
WARI0124,WH-00124,Market Blvd 124,IN,Central,Pune,50000.0,1987,12567.88,pick/pack|VAS|cross-dock,chilled,N,6.69,8.66,23.76,manual
WARI0125,WH-00125,Harbor Way 125,BR,West,Pune,50000.0,1680,11995.92,cross-dock,ambient,N,4.31,2.71,32.8,semi-auto
WARI0126,WH-00126,Industrial Rd 126,MX,South,Berlin,50000.0,1546,10998.76,cross-dock|kitting,ambient,N,0.13,1.92,48.09,semi-auto
WARI0127,WH-00127,Harbor Way 127,CN,East,Austin,50000.0,1505,11109.13,pick/pack|returns|kitting,chilled,N,6.69,8.45,25.92,manual
WARI0128,WH-00128,Main St 128,US,North,Frankfurt,50000.0,1704,11563.43,VAS|pick/pack,frozen,N,8.54,6.67,20.21,full-auto
WARI0129,WH-00129,Harbor Way 129,IN,Central,Chennai,50000.0,1156,11276.79,kitting,frozen,Y,8.11,7.04,23.37,manual
WARI0130,WH-00130,Market Blvd 130,BR,West,Chennai,50000.0,1640,11372.56,kitting,chilled,N,7.32,7.67,37.61,semi-auto
WARI0131,WH-00131,Market Blvd 131,SG,North,Aurora,50000.0,1432,15642.97,kitting|VAS|cross-dock,ambient,N,8.94,7.53,23.67,manual
WARI0132,WH-00132,Market Blvd 132,MX,West,Chicago,50000.0,1732,10746.7,returns|kitting,ambient,N,13.81,13.17,24.52,semi-auto
WARI0133,WH-00133,Market Blvd 133,DE,North,Aurora,50000.0,1567,14226.71,pick/pack,chilled,N,6.33,4.51,29.83,manual
WARI0134,WH-00134,Harbor Way 134,SG,East,Berlin,50000.0,1876,12941.14,cross-dock,ambient,N,4.36,2.69,47.23,full-auto
WARI0135,WH-00135,Market Blvd 135,MX,West,Chicago,50000.0,1345,15374.25,VAS|kitting,chilled,N,5.76,6.28,10.36,semi-auto
WARI0136,WH-00136,Main St 136,SG,West,Pune,50000.0,1374,10762.25,pick/pack|returns|kitting,frozen,N,5.28,5.67,34.19,full-auto
WARI0137,WH-00137,Industrial Rd 137,BR,North,Bangalore,50000.0,1332,11890.78,kitting|VAS,ambient,N,6.29,4.05,26.58,semi-auto
WARI0138,WH-00138,Market Blvd 138,MX,North,Aurora,50000.0,1142,11706.48,VAS|returns|pick/pack,ambient,N,15.52,12.0,29.26,manual
WARI0139,WH-00139,Harbor Way 139,IN,Central,Aurora,50000.0,1486,12294.77,returns|VAS,frozen,N,2.28,0.63,21.84,manual
WARI0140,WH-00140,Industrial Rd 140,DE,West,Frankfurt,50000.0,1991,16396.7,pick/pack|cross-dock|returns,chilled,N,9.13,9.97,24.02,semi-auto
WARI0141,WH-00141,Main St 141,DE,South,Chicago,50000.0,1210,14652.56,kitting,ambient,N,7.18,6.41,12.11,semi-auto
WARI0142,WH-00142,Market Blvd 142,SG,North,Mumbai,50000.0,1966,10287.26,pick/pack|kitting|cross-dock,ambient,N,4.16,4.79,30.51,semi-auto
WARI0143,WH-00143,Main St 143,US,Central,Mumbai,50000.0,1127,12796.35,kitting,ambient,N,4.9,4.33,28.68,full-auto
WARI0144,WH-00144,Harbor Way 144,US,South,Frankfurt,50000.0,1244,14285.66,cross-dock|pick/pack,ambient,N,4.63,6.09,37.62,manual
WARI0145,WH-00145,Harbor Way 145,BR,South,Pune,50000.0,1839,15117.01,returns|cross-dock,chilled,N,13.63,13.33,48.42,manual
WARI0146,WH-00146,Harbor Way 146,DE,West,Mumbai,50000.0,1134,10104.47,pick/pack,ambient,N,5.74,5.3,6.59,full-auto
WARI0147,WH-00147,Market Blvd 147,DE,East,Aurora,50000.0,1236,14828.19,returns,ambient,N,1.38,2.2,53.69,full-auto
WARI0148,WH-00148,Industrial Rd 148,IN,South,Berlin,50000.0,1504,10096.22,returns,chilled,N,2.32,3.25,40.61,semi-auto
WARI0149,WH-00149,Market Blvd 149,IN,West,Berlin,50000.0,1170,13546.32,pick/pack|VAS|returns,ambient,N,6.03,6.95,43.87,full-auto
WARI0150,WH-00150,Market Blvd 150,DE,South,Mumbai,50000.0,1799,11902.66,kitting|VAS|returns,ambient,N,4.9,2.45,22.13,manual
WARI0151,WH-00151,Main St 151,US,South,Bangalore,50000.0,1675,16186.35,VAS,chilled,N,4.16,2.87,49.11,manual
WARI0152,WH-00152,Market Blvd 152,MX,North,Mumbai,50000.0,1432,11029.35,VAS|kitting|returns,ambient,N,10.36,10.56,26.14,manual
WARI0153,WH-00153,Main St 153,US,North,Chicago,50000.0,1158,12723.57,VAS|pick/pack,ambient,N,8.89,10.75,27.78,full-auto
WARI0154,WH-00154,Industrial Rd 154,SG,North,Pune,50000.0,1598,16583.87,returns,chilled,N,7.94,7.94,47.61,semi-auto
WARI0155,WH-00155,Industrial Rd 155,BR,Central,Mumbai,50000.0,1305,11693.89,kitting|cross-dock,frozen,Y,9.5,10.78,55.59,semi-auto
WARI0156,WH-00156,Harbor Way 156,US,Central,Austin,50000.0,1111,11442.99,pick/pack,chilled,N,3.0,3.16,35.26,manual
WARI0157,WH-00157,Market Blvd 157,US,Central,Berlin,50000.0,1237,16533.74,returns,ambient,N,13.09,13.36,26.74,semi-auto
WARI0158,WH-00158,Main St 158,CN,Central,Bangalore,50000.0,1194,14400.43,returns|kitting|VAS,chilled,N,6.89,5.46,45.88,manual
WARI0159,WH-00159,Harbor Way 159,US,South,Chicago,50000.0,1252,12776.53,pick/pack,chilled,N,5.61,4.52,20.5,manual
WARI0160,WH-00160,Main St 160,CN,West,Pune,50000.0,1719,10806.73,VAS,chilled,N,4.83,4.6,50.11,full-auto
WARI0161,WH-00161,Main St 161,CN,Central,Pune,50000.0,1223,12728.63,kitting,ambient,N,3.18,2.81,40.54,manual
WARI0162,WH-00162,Market Blvd 162,BR,South,Mumbai,50000.0,1139,12779.35,kitting|VAS|returns,chilled,N,6.42,7.15,27.78,full-auto
WARI0163,WH-00163,Market Blvd 163,DE,West,Austin,50000.0,1445,11963.17,pick/pack,chilled,N,7.07,9.49,34.13,semi-auto
WARI0164,WH-00164,Harbor Way 164,BR,North,Austin,50000.0,1320,11200.04,cross-dock|returns,chilled,Y,6.23,6.5,44.37,semi-auto
WARI0165,WH-00165,Harbor Way 165,IN,East,Aurora,50000.0,1350,16387.37,kitting|pick/pack|VAS,chilled,N,5.63,5.94,42.39,full-auto
WARI0166,WH-00166,Harbor Way 166,SG,South,Frankfurt,50000.0,1546,10988.34,cross-dock,frozen,Y,2.14,2.23,26.65,semi-auto
WARI0167,WH-00167,Market Blvd 167,CN,North,Chicago,50000.0,1572,10736.9,returns|cross-dock,chilled,N,6.91,7.99,40.04,full-auto
WARI0168,WH-00168,Market Blvd 168,IN,East,Austin,50000.0,1812,11417.09,VAS|cross-dock,ambient,Y,3.05,5.49,52.68,full-auto
WARI0169,WH-00169,Main St 169,BR,South,Aurora,50000.0,1552,11724.17,cross-dock,ambient,N,8.03,6.54,56.42,semi-auto
WARI0170,WH-00170,Industrial Rd 170,IN,West,Mumbai,50000.0,1721,12008.37,pick/pack|cross-dock,frozen,Y,4.62,4.97,39.97,full-auto
WARI0171,WH-00171,Market Blvd 171,CN,South,Aurora,50000.0,1892,10836.72,cross-dock|pick/pack|kitting,chilled,N,1.61,3.19,37.53,manual
WARI0172,WH-00172,Harbor Way 172,MX,East,Bangalore,50000.0,1125,16143.5,returns,frozen,N,3.08,5.22,21.63,full-auto
WARI0173,WH-00173,Market Blvd 173,CN,South,Austin,50000.0,1201,15643.75,VAS,ambient,N,6.28,6.53,27.88,manual
WARI0174,WH-00174,Market Blvd 174,SG,West,Mumbai,50000.0,1414,11003.3,cross-dock|pick/pack|kitting,ambient,N,5.2,4.56,31.32,full-auto
WARI0175,WH-00175,Market Blvd 175,BR,East,Berlin,50000.0,1781,10829.16,VAS|kitting,ambient,N,11.38,11.18,27.72,semi-auto
WARI0176,WH-00176,Market Blvd 176,CN,West,Frankfurt,50000.0,1283,10434.05,VAS|pick/pack|returns,ambient,N,6.66,5.06,40.25,manual
WARI0177,WH-00177,Main St 177,CN,North,Bangalore,50000.0,1447,11770.92,returns|cross-dock,ambient,N,-0.34,2.04,35.35,manual
WARI0178,WH-00178,Industrial Rd 178,MX,Central,Aurora,50000.0,1736,11371.71,VAS|kitting|returns,chilled,N,8.56,10.32,41.68,semi-auto
WARI0179,WH-00179,Market Blvd 179,BR,Central,Frankfurt,50000.0,1777,13165.28,cross-dock,ambient,Y,7.86,7.74,42.07,semi-auto
WARI0180,WH-00180,Industrial Rd 180,CN,Central,Austin,50000.0,1835,15749.87,VAS,chilled,N,8.95,8.58,43.37,manual
WARI0181,WH-00181,Harbor Way 181,IN,West,Frankfurt,50000.0,1348,15278.72,kitting|returns|VAS,ambient,Y,1.15,-1.14,48.71,manual
WARI0182,WH-00182,Harbor Way 182,SG,South,Pune,50000.0,1787,15742.85,cross-dock,ambient,N,3.1,2.92,50.42,full-auto
